"Key","Value","Improvement"
"Lon","179",40.0773958720583
"Lon","177",37.486903752626
"Lon","175",28.8869461790368
"Lon","181",28.6508649112784
"Lon","183",20.5729470274277
"Lon","173",18.4776258239167
"Lon","187",17.4791033143474
"Lon","185",16.5682412242563
"Lon","209",15.087435663103
"Lon","189",14.6543630277183
"Lon","211",14.5035505622377
"Lon","205",14.0693149679169
"Lon","203",13.928713152437
"Lon","207",13.5974741491982
"Lon","191",12.796392754095
"Lon","201",12.708748511528
"Lon","199",11.7814765409607
"Lon","213",11.1192385063546
"Lon","197",10.8341062328172
"Lon","193",10.6735123853896
"Lon","195",10.3997068557674
"Lat","53",10.3310901780405
"Lat","51",9.19176703096628
"Lat","55",8.91288595027299
"Lon","215",8.64754540549802
"Lon","171",8.34590613499813
"Lon","217",6.72435185884115
"Lon","219",4.88777592894894
"Lon","221",2.95972808156375
"Lat","57",2.82182202822332
"Lon","223",2.00020720998327
